level,origin_type,origin_name,filename,relative_path,source_filename,classification_basis,asset_status,resolution,color_mode
05,B02-FAU,Fauna,aachat-level-05-b02-fau-cand-02-01-256.png,B02-FAU__Fauna/aachat-level-05-b02-fau-cand-02-01-256.png,aachat-phase4-cand-02-01-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B04-CUL,Culinary,aachat-level-05-b04-cul-cand-02-02-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-02-02-256.png,aachat-phase4-cand-02-02-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B02-FAU,Fauna,aachat-level-05-b02-fau-cand-02-03-256.png,B02-FAU__Fauna/aachat-level-05-b02-fau-cand-02-03-256.png,aachat-phase4-cand-02-03-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B06-OBJ,Artifact_&_Architecture,aachat-level-05-b06-obj-cand-02-04-256.png,B06-OBJ__Artifact_&_Architecture/aachat-level-05-b06-obj-cand-02-04-256.png,aachat-phase4-cand-02-04-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B03-FLO,Flora_&_Fungi,aachat-level-05-b03-flo-cand-02-05-256.png,B03-FLO__Flora_&_Fungi/aachat-level-05-b03-flo-cand-02-05-256.png,aachat-phase4-cand-02-05-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B04-CUL,Culinary,aachat-level-05-b04-cul-cand-02-06-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-02-06-256.png,aachat-phase4-cand-02-06-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B02-FAU,Fauna,aachat-level-05-b02-fau-cand-02-07-256.png,B02-FAU__Fauna/aachat-level-05-b02-fau-cand-02-07-256.png,aachat-phase4-cand-02-07-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B04-CUL,Culinary,aachat-level-05-b04-cul-cand-02-08-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-02-08-256.png,aachat-phase4-cand-02-08-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B02-FAU,Fauna,aachat-level-05-b02-fau-cand-02-09-256.png,B02-FAU__Fauna/aachat-level-05-b02-fau-cand-02-09-256.png,aachat-phase4-cand-02-09-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B05-MEC,Machine,aachat-level-05-b05-mec-cand-02-10-256.png,B05-MEC__Machine/aachat-level-05-b05-mec-cand-02-10-256.png,aachat-phase4-cand-02-10-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B06-OBJ,Artifact_&_Architecture,aachat-level-05-b06-obj-cand-02-11-256.png,B06-OBJ__Artifact_&_Architecture/aachat-level-05-b06-obj-cand-02-11-256.png,aachat-phase4-cand-02-11-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B08-NAT,Nature_&_Element,aachat-level-05-b08-nat-cand-02-12-256.png,B08-NAT__Nature_&_Element/aachat-level-05-b08-nat-cand-02-12-256.png,aachat-phase4-cand-02-12-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B01-HUM,Humanoid,aachat-level-05-b01-hum-cand-02-13-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-02-13-256.png,aachat-phase4-cand-02-13-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B06-OBJ,Artifact_&_Architecture,aachat-level-05-b06-obj-cand-02-14-256.png,B06-OBJ__Artifact_&_Architecture/aachat-level-05-b06-obj-cand-02-14-256.png,aachat-phase4-cand-02-14-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B03-FLO,Flora_&_Fungi,aachat-level-05-b03-flo-cand-02-15-256.png,B03-FLO__Flora_&_Fungi/aachat-level-05-b03-flo-cand-02-15-256.png,aachat-phase4-cand-02-15-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B04-CUL,Culinary,aachat-level-05-b04-cul-cand-02-16-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-02-16-256.png,aachat-phase4-cand-02-16-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B01-HUM,Humanoid,aachat-level-05-b01-hum-cand-02-17-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-02-17-256.png,aachat-phase4-cand-02-17-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B03-FLO,Flora_&_Fungi,aachat-level-05-b03-flo-cand-02-18-256.png,B03-FLO__Flora_&_Fungi/aachat-level-05-b03-flo-cand-02-18-256.png,aachat-phase4-cand-02-18-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B05-MEC,Machine,aachat-level-05-b05-mec-cand-02-19-256.png,B05-MEC__Machine/aachat-level-05-b05-mec-cand-02-19-256.png,aachat-phase4-cand-02-19-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B01-HUM,Humanoid,aachat-level-05-b01-hum-cand-02-20-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-02-20-256.png,aachat-phase4-cand-02-20-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B04-CUL,Culinary,aachat-level-05-b04-cul-cand-05-01-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-05-01-256.png,aachat-phase4-cand-05-01-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B03-FLO,Flora_&_Fungi,aachat-level-05-b03-flo-cand-05-02-256.png,B03-FLO__Flora_&_Fungi/aachat-level-05-b03-flo-cand-05-02-256.png,aachat-phase4-cand-05-02-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B06-OBJ,Artifact_&_Architecture,aachat-level-05-b06-obj-cand-05-03-256.png,B06-OBJ__Artifact_&_Architecture/aachat-level-05-b06-obj-cand-05-03-256.png,aachat-phase4-cand-05-03-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B04-CUL,Culinary,aachat-level-05-b04-cul-cand-05-04-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-05-04-256.png,aachat-phase4-cand-05-04-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B05-MEC,Machine,aachat-level-05-b05-mec-cand-05-05-256.png,B05-MEC__Machine/aachat-level-05-b05-mec-cand-05-05-256.png,aachat-phase4-cand-05-05-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B07-MAT,Material_&_Mineral,aachat-level-05-b07-mat-cand-05-06-256.png,B07-MAT__Material_&_Mineral/aachat-level-05-b07-mat-cand-05-06-256.png,aachat-phase4-cand-05-06-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B04-CUL,Culinary,aachat-level-05-b04-cul-cand-05-07-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-05-07-256.png,aachat-phase4-cand-05-07-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B06-OBJ,Artifact_&_Architecture,aachat-level-05-b06-obj-cand-05-08-256.png,B06-OBJ__Artifact_&_Architecture/aachat-level-05-b06-obj-cand-05-08-256.png,aachat-phase4-cand-05-08-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B05-MEC,Machine,aachat-level-05-b05-mec-cand-05-09-256.png,B05-MEC__Machine/aachat-level-05-b05-mec-cand-05-09-256.png,aachat-phase4-cand-05-09-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B04-CUL,Culinary,aachat-level-05-b04-cul-cand-05-10-256.png,B04-CUL__Culinary/aachat-level-05-b04-cul-cand-05-10-256.png,aachat-phase4-cand-05-10-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B06-OBJ,Artifact_&_Architecture,aachat-level-05-b06-obj-cand-05-11-256.png,B06-OBJ__Artifact_&_Architecture/aachat-level-05-b06-obj-cand-05-11-256.png,aachat-phase4-cand-05-11-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B08-NAT,Nature_&_Element,aachat-level-05-b08-nat-cand-05-12-256.png,B08-NAT__Nature_&_Element/aachat-level-05-b08-nat-cand-05-12-256.png,aachat-phase4-cand-05-12-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B01-HUM,Humanoid,aachat-level-05-b01-hum-cand-05-13-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-05-13-256.png,aachat-phase4-cand-05-13-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B08-NAT,Nature_&_Element,aachat-level-05-b08-nat-cand-05-14-256.png,B08-NAT__Nature_&_Element/aachat-level-05-b08-nat-cand-05-14-256.png,aachat-phase4-cand-05-14-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B05-MEC,Machine,aachat-level-05-b05-mec-cand-05-15-256.png,B05-MEC__Machine/aachat-level-05-b05-mec-cand-05-15-256.png,aachat-phase4-cand-05-15-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B08-NAT,Nature_&_Element,aachat-level-05-b08-nat-cand-05-16-256.png,B08-NAT__Nature_&_Element/aachat-level-05-b08-nat-cand-05-16-256.png,aachat-phase4-cand-05-16-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B06-OBJ,Artifact_&_Architecture,aachat-level-05-b06-obj-cand-05-17-256.png,B06-OBJ__Artifact_&_Architecture/aachat-level-05-b06-obj-cand-05-17-256.png,aachat-phase4-cand-05-17-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B01-HUM,Humanoid,aachat-level-05-b01-hum-cand-05-18-256.png,B01-HUM__Humanoid/aachat-level-05-b01-hum-cand-05-18-256.png,aachat-phase4-cand-05-18-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
05,B06-OBJ,Artifact_&_Architecture,aachat-level-05-b06-obj-cand-06-01-256.png,B06-OBJ__Artifact_&_Architecture/aachat-level-05-b06-obj-cand-06-01-256.png,aachat-phase4-cand-06-01-256.png,full visual review: Level 05 contact sheet motif,reference-only,256x256,RGBA
